,ngram,count
748,DET SPACE PUNCT,29
749,SPACE PUNCT NOUN,218
750,ADP ADJ SPACE,41
751,ADJ SPACE ADP,22
752,SPACE ADP DET,468
753,ADJ NUM VERB,268
754,NUM VERB NUM,167
755,NOUN PART ADV,3690
756,CCONJ NOUN DET,7516
757,PART VERB CCONJ,17629
758,VERB PUNCT ADP,70720
759,PUNCT ADP ADP,28217
760,ADP ADP CCONJ,844
761,ADP CCONJ ADP,2438
762,CCONJ ADP DET,76341
763,ADP PUNCT X,151
764,PUNCT X VERB,154
765,X VERB PUNCT,30
766,PUNCT ADP CCONJ,1006
767,ADP CCONJ ADJ,1270
768,CCONJ ADJ PART,1662
769,ADJ PART PUNCT,188
770,PART PUNCT VERB,1709
771,VERB VERB _,80
772,VERB _ _,295
773,NOUN NOUN NUM,1951
774,NOUN NUM ADP,6776
775,NOUN DET SPACE,19
776,DET SPACE NOUN,233
777,NOUN ADJ _,9
778,ADJ _ _,98
779,PROPN NOUN ADJ,1018
780,ADJ NOUN X,419
781,NOUN ADJ ADJ,1281
782,DET VERB ADP,52980
783,ADJ ADJ VERB,827
784,ADJ VERB ADP,6357
785,ADP ADV SPACE,8
786,ADV SPACE NOUN,15
787,NOUN SPACE ADP,236
788,SPACE ADP ADJ,50
789,ADP ADJ _,12
790,ADP NOUN SPACE,382
791,SPACE PRON CCONJ,6
792,PRON CCONJ NOUN,340
793,PROPN NOUN SPACE,110
794,NOUN VERB X,98
795,VERB X ADV,3
796,X ADV ADP,25
797,ADJ ADV ADJ,2272
798,SPACE ADV NOUN,17
799,ADV NOUN VERB,12545
800,DET VERB PRON,15793
801,SPACE ADV PRON,30
802,X X PROPN,116
803,X PROPN PROPN,127
804,PROPN PROPN X,323
805,PROPN X DET,5
806,X DET NOUN,468
807,PUNCT PUNCT ADP,4633
808,PUNCT ADP ADV,17748
809,VERB ADV _,21
810,VERB PUNCT NOUN,10495
811,CCONJ ADJ ADJ,15472
812,DET PUNCT ADJ,4572
813,PUNCT ADJ ADJ,7910
814,PART VERB _,15
815,PUNCT ADV NOUN,7961
816,PUNCT NOUN PROPN,1946
817,NOUN PROPN SPACE,328
818,PROPN SPACE _,5
819,SPACE _ _,13
820,PRON PROPN NOUN,68
821,PRON ADP PROPN,5046
822,ADP PRON NOUN,3147
823,PRON NOUN VERB,2452
824,DET NOUN PROPN,8797
825,NOUN PROPN NOUN,1074
826,PROPN NOUN NOUN,13414
827,PROPN NOUN DET,4199
828,ADP DET SPACE,221
829,NOUN ADV PROPN,1450
830,DET SPACE CCONJ,8
831,SPACE CCONJ SPACE,101
832,CCONJ SPACE ADJ,9
833,SPACE ADJ NOUN,301
834,CCONJ NOUN CCONJ,9611
835,ADP SPACE CCONJ,95
836,CCONJ SPACE PROPN,19
837,SPACE PROPN VERB,2262
838,CCONJ SPACE NOUN,35
839,ADJ NOUN PROPN,3740
840,DET PROPN SPACE,1027
841,PROPN SPACE NOUN,64
