setup,hidden,learning_rate,batch_size,train_percentage,epoch,nlt_tp,nlt_fp,nlt_tn,nlt_fn,eval_accuracy,eval_accuracy_2,precision,recall,f1-score
NLLoss,32,0.001,16,100%,1,538,247,667,919,0.9505961673,,0.6853503185,0.3692518874,0.4799286351
NLLoss,32,0.001,16,100%,5,466,207,707,991,0.9505961673,,0.6924219911,0.319835278,0.4375586854
NLLoss,16,0.001,16,100%,4,487,213,701,970,0.9505961673,,0.6957142857,0.3342484557,0.451553083
NLLoss,64,0.001,4,100%,8,449,199,715,1008,0.9505961673,,0.6929012346,0.3081674674,0.4266033254
BCEwithLL,8,0.001,4,100%,2,537,247,667,920,0.9505961673,,0.6849489796,0.3685655456,0.4792503347
BCEwithLL,8,0.0001,1,100%,2,672,315,599,785,0.9505961673,,0.6808510638,0.4612216884,0.5499181669
NLLoss,8,0.001,32,100%,7,457,208,706,1000,0.9505961673,,0.6872180451,0.3136582018,0.4307257304
BCEwithLL,64,0.001,4,100%,8,463,199,715,994,0.9505795609,,0.6993957704,0.3177762526,0.4369985842
BCEwithLL,16,0.001,1,100%,9,467,206,708,990,0.9505795609,95.06,0.6939078752,0.3205216198,0.4384976526
NLLoss,64,0.001,32,100%,4,509,226,688,948,0.9505795609,,0.6925170068,0.3493479753,0.4644160584
NLLoss,32,0.0001,16,100%,8,583,269,645,874,0.9505795609,,0.6842723005,0.4001372684,0.504980511
NLLoss,512,0.0001,8,100%,5,604,290,624,853,0.9505795609,,0.6756152125,0.4145504461,0.5138239047
BCEwithLL,8,0.001,32,100%,6,523,239,675,934,0.9505795609,,0.686351706,0.3589567605,0.4713835061
BCEwithLL,8,0.0001,2,100%,2,678,325,589,779,0.9505795609,,0.6759720837,0.4653397392,0.5512195122
NLLoss,8,0.0001,4,100%,4,584,269,645,873,0.9505795609,,0.6846424385,0.4008236102,0.5056277056
BCEwithLL,32,0.001,8,100%,7,473,215,699,984,0.9505629546,,0.6875,0.3246396706,0.441025641
BCEwithLL,64,0.001,16,100%,3,537,250,664,920,0.9505629546,,0.6823379924,0.3685655456,0.4786096257
BCEwithLL,128,0.0001,16,100%,7,616,299,615,841,0.9505629546,,0.6732240437,0.4227865477,0.5193929174
NLLoss,32,0.001,4,100%,1,542,248,666,915,0.9505629546,,0.6860759494,0.3719972546,0.4824210058
NLLoss,32,0.001,4,100%,2,531,233,681,926,0.9505629546,,0.695026178,0.3644474949,0.4781629896
BCEwithLL,16,0.001,16,100%,8,506,227,687,951,0.9505629546,,0.690313779,0.3472889499,0.4621004566
NLLoss,16,0.0001,8,100%,8,559,253,661,898,0.9505629546,,0.6884236453,0.3836650652,0.492728074
BCEwithLL,128,0.0001,8,100%,8,583,273,641,874,0.9505629546,,0.6810747664,0.4001372684,0.5041072201
NLLoss,16,0.0001,16,100%,9,565,267,647,892,0.9505629546,95.06,0.6790865385,0.387783116,0.4936653561
BCEwithLL,64,0.0001,2,100%,8,559,258,656,898,0.9505629546,,0.6842105263,0.3836650652,0.491644679
NLLoss,64,0.0001,8,100%,5,563,261,653,894,0.9505629546,,0.6832524272,0.3864104324,0.493643139
NLLoss,32,0.0001,8,100%,5,548,253,661,909,0.9505629546,,0.684144819,0.3761153054,0.4853852967
BCEwithLL,8,0.0001,4,100%,9,604,284,630,853,0.9505629546,95.06,0.6801801802,0.4145504461,0.5151385928
BCEwithLL,64,0.0001,4,100%,8,572,269,645,885,0.9505463483,,0.6801426873,0.3925875086,0.497824195
NLLoss,16,0.001,8,100%,5,480,215,699,977,0.9505463483,,0.690647482,0.3294440631,0.4460966543
NLLoss,64,0.001,2,100%,8,538,219,695,919,0.9505463483,,0.7107001321,0.3692518874,0.4859981933
BCEwithLL,16,0.0001,1,100%,4,607,279,635,850,0.9505463483,,0.6851015801,0.4166094715,0.5181391379
NLLoss,16,0.0001,4,100%,5,573,260,654,884,0.9505463483,,0.6878751501,0.3932738504,0.5004366812
NLLoss,16,0.0001,2,100%,6,547,252,662,910,0.9505463483,,0.6846057572,0.3754289636,0.484929078
NLLoss,32,0.0001,1,100%,7,528,237,677,929,0.9505463483,,0.6901960784,0.3623884695,0.4752475248
NLLoss,128,1.00E-05,4,100%,4,658,311,603,799,0.9505463483,,0.6790505676,0.4516129032,0.5424567189
BCEwithLL,256,0.0001,16,100%,9,640,301,613,817,0.9505463483,95.05,0.6801275239,0.4392587509,0.5337781485
NLLoss,512,0.0001,16,100%,5,615,284,630,842,0.9505463483,,0.6840934372,0.4221002059,0.5220713073
NLLoss,32,0.001,16,100%,7,463,204,710,994,0.9505297419,,0.6941529235,0.3177762526,0.4359698682
BCEwithLL,64,0.0001,16,100%,4,648,312,602,809,0.9505297419,,0.675,0.4447494852,0.5362019032
NLLoss,32,0.001,4,100%,8,478,206,708,979,0.9505297419,,0.6988304094,0.3280713795,0.4465203176
NLLoss,16,0.001,32,100%,5,475,213,701,982,0.9505297419,,0.6904069767,0.3260123542,0.4428904429
